1995 SECTION,1995 TITLE,1995 LEVEL,2004 SECTION,2004 TITLE,2004 LEVEL
02720,Cracked and Seated Portland Cement Concrete Base Course,4,32 11 36,Concrete Base Courses,3
02720,Rubberized Portland Cement Concrete Base Course,4,32 11 36,Concrete Base Courses,3
02720,Sub Ballast,4,32 11 00,Base Courses,2
02720,Top Ballast,4,32 11 00,Base Courses,2
02720,Unbound Base Courses and Ballasts,3,32 11 00,Base Courses,2
02730,Aggregate Surfacing,3,32 15 00,Aggregate Surfacing,2
02730,Cinder Surfacing,4,32 15 13,Cinder Surfacing,3
02730,Crushed Stone Surfacing,4,32 15 40,Crushed Stone Surfacing,3
02740,Asphalt-Rubber and Rubber Modified Bituminous Pavement,4,32 12 16.33,Granulated Rubber-Modified Asphalt Paving,4
02740,Athletic Bituminous Pavement,4,32 12 16.36,Athletic Asphalt Paving,4
02740,Bituminous Concrete Pavement,4,32 12 16,Asphalt Paving,3
02740,Cold Mix Bituminous Pavement,4,32 12 16.19,Cold-Mix Asphalt Paving,4
02740,Fiber-Modified Bituminous Pavement,4,32 12 16.26,Fiber-Modified Asphalt Paving,4
02740,Flexible Pavement,3,32 12 00,Flexible Paving,2
02740,Polymer-Modified Bituminous Pavement and Rubberized Asphalt,4,32 12 16.29,Polymer-Modified Asphalt Paving,4
02740,Road Mix Bituminous Pavement,4,32 12 16.16,Road-Mix Asphalt Paving,4
02740,Stone and Split-Mastic Bituminous Pavement,4,32 12 16,Asphalt Paving,3
02750,Continuous Reinforced Cement Concrete Pavement,4,32 13 13,Concrete Paving,3
02750,Exposed Aggregate Pavement,4,32 13 13.13,Exposed Aggregate Concrete Paving,4
02750,Plain Cement Concrete Pavement,4,32 13 13,Concrete Paving,3
02750,Power Compacted Concrete Pavement,4,32 13 13.16,Power-Compacted Concrete Paving,4
02750,Prestressed Reinforced Cement Concrete Pavement,4,32 13 13.19,Prestressed Concrete Paving,4
02750,Reinforced Cement Concrete Pavement,4,32 13 13,Concrete Paving,3
02750,Rigid Pavement,3,32 13 00,Rigid Paving,2
02750,Roller-Compacted Concrete Pavement,4,32 13 16.16,Roller-Compacted Concrete Paving,4
02755,Cement Concrete Shoulders,3,32 13 13,Concrete Paving,3
02760,Cold Plastic Pavement Markings and Legends,4,32 17 23.33,Plastic Pavement Markings,4
02760,Curb Cut Ramps,4,32 16 00,Curbs and Gutters,2
02760,Painted Traffic Lines and Markings,4,32 17 23.13,Painted Pavement Markings,4
02760,Pavement Joint Sealant,4,32 12 73,Asphalt Paving Joint Sealants,3
02760,Pavement Joint Sealant,4,32 13 73,Concrete Paving Joint Sealants,3
02760,Pavement Markings,4,32 17 23,Pavement Markings,3
02760,Paving Specialties,3,32 17 00,Paving Specialties,2
02760,Raised Pavement Markers,4,32 17 23.23,Raised Pavement Markings,4
02760,Snow Melting Cables and Mats,4,23 83 13,Radiant-Heating Electric Cables,3
02760,Stamped Pattern Concrete Pavement,4,32 13 16.23,Stamped Concrete Paving,4
02760,Tactile Warning Surfaces,4,32 17 26,Tactile Warning Surfacing,3
02770,Bituminous Concrete Curbs,4,32 16 19,Asphalt Curbs,3
02770,Cement Concrete Curbs,4,32 16 13.16,Cast-In-Place Concrete Curbs,4
02770,Cement Concrete Curbs and Gutters,4,32 16 13,Concrete Curbs and Gutters,3
02770,Curbs and Gutters,3,32 16 00,Curbs and Gutters,2
02770,Gutters,4,32 16 13.29,Precast Concrete Gutters,4
02770,Simulated Stone Curbs,4,32 16 40.13,Manufactured Stone Curbs,4
02770,Stone Curbs,4,32 16 40,Stone Curbs,3
02775,Sidewalks,3,32 10 00,"Bases, Ballasts, and Paving",2
02780,Asphalt Block Pavers,4,32 14 23,Asphalt Unit Paving,3
02780,Brick Pavers,4,32 14 16,Brick Unit Paving,3
02780,Interlocking Precast Concrete Pavers,4,32 14 13.13,Interlocking Precast Concrete Unit Paving,4
02780,Precast Concrete Pavers,4,32 14 13,Precast Concrete Unit Paving,3
02780,Pressed Pavers,4,32 14 13.16,Precast Concrete Unit Paving Slabs,4
02780,Stone Pavers,4,32 14 40,Stone Paving,3
02780,Unit Pavers,3,32 14 00,Unit Paving,2
02785,Cape Seal,4,32 12 33,Flexible Paving Surface Treatments,3
02785,Chip Seal,4,32 12 33,Flexible Paving Surface Treatments,3
02785,Flexible Pavement Coating and Micro-Surfacing,3,32 12 33,Flexible Paving Surface Treatments,3
02785,Fog Seal,4,32 12 36.13,Asphaltic Seal and Fog Coats,4
02785,Latex-Modified Emulsion,4,32 12 33,Flexible Paving Surface Treatments,3
02785,Micro-Surfacing,4,32 12 33,Flexible Paving Surface Treatments,3
02785,Sand Seal,4,32 12 36,Seal Coats,3
02785,Sandwich Seal,4,32 12 36,Seal Coats,3
02785,Slurry Seal,4,32 01 13.61,Slurry Seal (Latex Modified),4
02785,Surface Treatment,4,32 12 33,Flexible Paving Surface Treatments,3
02790,Athletic and Recreational Surfaces,3,32 18 00,Athletic and Recreational Surfacing,2
02790,Baseball Field Surfacing,4,32 18 23.13,Baseball Field Surfacing,4
02790,Multi-Purpose Court Surfacing,4,32 18 23.43,Recreational Court Surfacing,4
02790,Resilient Matting,4,32 18 00,Athletic and Recreational Surfacing,2
02790,Synthetic Grass Surfacing,4,32 18 13,Synthetic Grass Surfacing,3
02790,Synthetic Running Track Surfacing,4,32 18 23.39,Synthetic Running Track Surfacing,4
02790,Tennis Court Surfacing,4,32 18 23.53,Tennis Court Surfacing,4
02795,Porous Pavement,3,32 12 43,Porous Flexible Paving,3
02795,Porous Pavement,3,32 14 43,Porous Unit Paving,3
02800,SITE IMPROVEMENTS AND AMENITIES,2,32 30 00,Site Improvements,2
02810,Agricultural Irrigation System,4,32 86 00,Agricultural Irrigation,2
02810,Drip Irrigation System,4,32 84 13,Drip Irrigation,3
02810,Irrigation System,3,32 80 00,Irrigation,2
02810,Lawn Sprinkler System,4,32 84 23,Underground Sprinklers,3
02815,Fountains,3,13 12 00,Fountains,2
02820,Chain Link Fences and Gates,4,32 31 13,Chain Link Fences and Gates,3
02820,Fences and Gates,3,32 31 00,Fences and Gates,2
02820,Ornamental Metal Fences and Gates,4,32 31 19,Decorative Metal Fences and Gates,3
02820,Plastic Fences and Gates,4,32 31 23,Plastic Fences and Gates,3
02820,Wire Fences and Gates,4,32 31 26,Wire Fences and Gates,3
02820,Wood Fences and Gates,4,32 31 29,Wood Fences and Gates,3
02830,Cast-in-Place Concrete Retaining Walls,4,32 32 13,Cast-in-Place Concrete Retaining Walls,3
02830,Interlocking Block Retaining Walls,4,32 32 23,Segmental Retaining Walls,3
02830,Masonry Retaining Walls,4,32 32 19,Unit Masonry Retaining Walls,3
02830,Precast Concrete Retaining Walls,4,32 32 16,Precast Concrete Retaining Walls,3
02830,Retaining Walls,3,32 32 00,Retaining Walls,2
02830,Timber Retaining Walls,4,32 32 29,Timber Retaining Walls,3
02840,Concrete Median Barrier,4,34 71 13.13,Vehicle Median Barriers,4
02840,Crash Barriers,4,34 71 13.16,Vehicle Crash Barriers,4
02840,Delineators,4,34 71 19,Vehicle Delineators,3
02840,Fenders,4,34 71 13.29,Vehicle Barrier Fenders,4
02840,Guide Rail,4,34 71 13.26,Vehicle Guide Rails,4
02840,Impact Attenuating Devices,4,34 71 16,Impact Attenuating Devices,3
02840,Metal Median Barrier,4,34 71 13.13,Vehicle Median Barriers,4
02840,Parking Bumpers,4,32 17 13,Parking Bumpers,3
02840,Traffic Barriers,4,34 71 13.19,Vehicle Traffic Barriers,4
02840,"Walk, Road, and Parking Appurtenances",3,34 71 00,Roadway Construction,2
02850,Prefabricated Bridges,3,32 34 00,Fabricated Bridges,2
02860,Jet Blast Barriers,4,32 35 16,Sound Barriers,3
02860,Screening Devices,3,32 35 00,Screening Devices,2
02860,Screens and Louvers,4,32 35 13,Screens and Louvers,3
02860,Sound Barriers,4,32 35 16,Sound Barriers,3
02870,Bicycle Racks,4,12 93 13,Bicycle Racks,3
02870,Prefabricated Planters,4,12 93 33,Manufactured Planters,3
02870,Seating,4,12 93 43.13,Site Seating,4
02870,Site Furnishings,3,12 93 00,Site Furnishings,2
02870,Tables,4,12 93 43.53,Site Tables,4
02870,Trash and Litter Receptors,4,12 93 23,Trash and Litter Receptors,3
02875,Bus Stop Shelters,4,10 73 43,Transportation Stop Shelters,3
02875,Site and Street Shelters,3,10 73 00,Protective Covers,2
02880,Athletic or Recreational Screening,4,11 68 00,Play Field Equipment and Structures,2
02880,Play Field Equipment and Structures,3,11 68 00,Play Field Equipment and Structures,2
02880,Play Structures,4,11 68 16,Play Structures,3
02880,Playground Equipment,4,11 68 13,Playground Equipment,3
02880,Tennis Court Windbreakers,4,32 31 13.29,Tennis Court Wind Breaker,4
02890,Post-Mounted Signs,4,34 41 13,Traffic Signals,3
02890,Structure-Mounted Signs,4,34 41 13,Traffic Signals,3
02890,Traffic Signal Supports and Equipment,4,34 41 13,Traffic Signals,3
02890,Traffic Signs and Signals,3,10 14 53,Traffic Signage,3
02890,Traffic Signs and Signals,3,34 41 13,Traffic Signals,3
02895,Boundary Markers and Survey Markers,4,02 21 13.13,Boundary and Survey Markers,4
02895,Markers and Monuments,3,02 21 13,Site Surveys,3
02900,PLANTING,2,32 90 00,Planting,2
02905,Ground Cover Transplanting,4,32 96 13,Ground Cover Transplanting,3
02905,Plant and Bulb Transplanting,4,32 96 23,Plant and Bulb Transplanting,3
02905,Shrub Transplanting,4,32 96 33,Shrub Transplanting,3
02905,Transplanting,3,32 96 00,Transplanting,2
02905,Tree Transplanting,4,32 96 43,Tree Transplanting,3
02910,Blankets,4,32 91 16.13,Blanket Planting Soil Stabilization,4
02910,Forms and Stabilizers,4,32 91 00,Planting Preparation,2
02910,Hydro-Punching,4,32 91 13.13,Hydro-Punching,4
02910,Mats,4,32 91 16.16,Mat Planting Soil Stabilization,4
02910,Mulching,4,32 91 13.16,Mulching,4
02910,Netting,4,32 91 16.19,Netting Planting Soil Stabilization,4
02910,Plant Preparation,3,32 91 00,Planting Preparation,2
02910,Soil Preparation,4,32 91 13,Soil Preparation,3
02910,Stakes,4,32 91 13,Soil Preparation,3
02910,Topsoil,4,32 91 19.13,Topsoil Placement and Grading,4
02920,Hydro-Mulching,4,32 92 13,Hydro-Mulching,3
02920,Lawns and Grasses,3,32 92 00,Turf and Grasses,2
02920,Plugging,4,32 92 16,Plugging,3
02920,Seeding and Soil Supplements,4,32 92 19,Seeding,3
02920,Sodding,4,32 92 23,Sodding,3
02920,Sprigging,4,32 92 26,Sprigging,3
02920,Stolonizing,4,32 92 26.13,Stolonizing,4
02930,Exterior Plants,3,32 93 00,Plants,2
02930,Ground Covers,4,32 93 13,Ground Covers,3
02930,Plants and Bulbs,4,32 93 23,Plants and Bulbs,3
02930,Shrubs,4,32 93 33,Shrubs,3
02930,Trees,4,32 93 43,Trees,3
02935,Fertilizing,4,32 01 90.13,Fertilizing,4
02935,Liming,4,32 01 90.16,Amending Soils,4
02935,Mowing,4,32 01 90.19,Mowing,4
02935,Plant Maintenance,3,32 01 90,Operation and Maintenance of Planting,3
02935,Pruning,4,32 01 90.23,Pruning,4
02935,Watering,4,32 01 90.26,Watering,4
02945,Landscape Edging,4,32 94 13,Landscape Edging,3
02945,Landscape Timbers,4,32 94 16,Landscape Timbers,3
02945,Planters,4,32 94 33,Planters,3
02945,Planting Accessories,3,32 94 00,Planting Accessories,2
02945,Tree Grates,4,32 94 43,Tree Grates,3
02945,Tree Grids,4,32 94 46,Tree Grids,3
02950,SITE RESTORATION AND REHABILITATION,3,31 01 00,Maintenance of Earthwork,2
02950,SITE RESTORATION AND REHABILITATION,3,32 01 00,Operation and Maintenance of Exterior Improvements,2
02950,SITE RESTORATION AND REHABILITATION,3,33 01 00,Operation and Maintenance of Utilities,2
02955,Grouting Underground Piping and Units,4,33 01 30,Operation and Maintenance of Sewer Utilities,3
02955,Relining Underground Piping and Units,4,33 01 30.72,Relining Sewers,4
02955,Restoration of Underground Piping,3,33 01 30.71,Rehabilitation of Sewer Utilities,4
02955,Sealing Underground Piping and Units,4,33 01 30.61,Sewer and Pipe Joint Sealing,4
02960,Flexible  Pavement Surfacing Recovery,3,32 01 13,Flexible Paving Surface Treatment,3
02960,Pavement Milling and Pavement Cold Planing,4,32 01 16.71,Cold Milling Asphalt Paving,4
02965,Cement-Based Bituminous Pavement Base Courses,4,32 01 16.72,Asphalt Paving Reuse,4
02965,Cold In-Place Recycled Bituminous Pavement Courses,4,32 01 16.73,In Place Cold Reused Asphalt Paving,4
02965,Flexible and Bituminous Pavement Recycling,3,32 01 16.72,Asphalt Paving Reuse,4
02965,Full-Depth Reclaimed Bituminous Pavement Base Courses,4,32 01 16.72,Asphalt Paving Reuse,4
02965,Hot In-Place Recycled Bituminous Pavement Courses,4,32 01 16.74,In Place Hot Reused Asphalt Paving,4
02965,Hot In-Place Recycled Surface Course Overlays,4,32 01 16.74,In Place Hot Reused Asphalt Paving,4
02965,Roadbed Modification,4,32 01 16.72,Asphalt Paving Reuse,4
02975,Fabric Reinforcement for Bituminous Pavement,4,32 01 17,Flexible Paving Repair,3
02975,Flexible and Bituminous Pavement Reinforcement and Crack and Joint  Sealants,3,32 01 17.61,Sealing Cracks in Asphalt Paving,4
02975,Polymer Modified Asphalt Joint and Crack Sealing,4,32 01 17.61,Sealing Cracks in Asphalt Paving,4
02975,Stress-Absorbing Membrane,4,32 01 17.62,Stress-Absorbing Membrane Interlayer,4
02975,Stress-Absorbing Membrane Interlayer,4,32 01 17.62,Stress-Absorbing Membrane Interlayer,4
02980,Cement Concrete Bonded Overlays,4,32 01 26.74,Concrete Overlays,4
02980,Cement Concrete Direct Partially Bonded Overlays,4,32 01 26.74,Concrete Overlays,4
02980,Cement Concrete Pavement Recycling,4,32 01 26.75,Concrete Paving Reuse,4
02980,Cement Concrete Unbonded Overlays,4,32 01 26.74,Concrete Overlays,4
02980,Concrete Pavement Jacking and Slabjacking,4,32 01 29.62,Concrete Paving Raising,4
02980,Concrete Pavement Patching,4,32 01 19.62,Patching of Rigid Paving,4
02980,Full Depth Patching,4,32 01 19.62,Patching of Rigid Paving,4
02980,Grinding of Concrete Pavement,4,32 01 26.72,Grinding of Concrete Paving,4
02980,Grooving of Concrete Pavement,4,32 01 26.71,Grooving of Concrete Paving,4
02980,Joint Cleaning and Resealing,4,32 01 19.61,Sealing of Joints in Rigid Paving,4
02980,Joint Rehabilitation,4,32 01 19.61,Sealing of Joints in Rigid Paving,4
02980,Partial Depth Patching,4,32 01 29.61,Partial Depth Patching of Rigid Paving,4
02980,Pavement-Shoulder Joint Resealing,4,32 01 19.61,Sealing of Joints in Rigid Paving,4
02980,Rigid Pavement Rehabilitation,3,32 01 26,Rigid Paving Rehabilitation,3
02980,Slab Stabilization,4,32 01 26,Rigid Paving Rehabilitation,3
02980,Subsealing and Stabilization,4,32 01 29.63,Subsealing and Stabilization,4
02990,Structure Moving,3,02 43 00,Structure Moving,2
03000,CONCRETE,1,03 00 00,Concrete,1
03050,BASIC CONCRETE MATERIALS AND METHODS,2,03 05 00,Common Work Results for Concrete,2
03100,CONCRETE FORMS AND ACCESSORIES,2,03 10 00,Concrete Forming and Accessories,2
03100,CONCRETE FORMS AND ACCESSORIES,2,03 11 00,Concrete Forming,2
03110,Structural Cast-in-Place Concrete Forms,3,03 11 13,Structural Cast-in-Place Concrete Forming,3
03120,Architectural Cast-in-Place Concrete Forms,3,03 11 16,Architectural Cast-in Place Concrete Forming,3
03130,Permanent Forms,3,03 11 00,Concrete Forming,2
03130,Permanent Steel Forms,4,03 11 23,Permanent Stair Forming,3
03130,Prefabricated Stair Forms,4,03 11 23,Permanent Stair Forming,3
03150,Concrete Accessories,3,03 15 00,Concrete Accessories,2
03200,CONCRETE REINFORCEMENT,2,03 20 00,Concrete Reinforcing,2
03210,Reinforcing Steel,3,03 21 00,Reinforcing Steel,2
03220,Welded Wire Fabric,3,03 22 00,Welded Wire Fabric Reinforcing,2
03230,Stressing Tendons,3,03 23 00,Stressing Tendons,2
03240,Fibrous Reinforcing,3,03 24 00,Fibrous Reinforcing,2
03250,Post-Tensioning,3,03 38 00,Post-Tensioned Concrete,2
03300,CAST-IN-PLACE CONCRETE,2,03 30 00,Cast-in-Place Concrete,2
03310,Structural Concrete,3,03 31 00,Structural Concrete,2
03330,Architectural Concrete,3,03 33 00,Architectural Concrete,2
03340,Low Density Concrete,3,03 34 00,Low Density Concrete,2
03350,Concrete Finishing,3,03 35 00,Concrete Finishing,2
03360,Concrete Finishes,3,03 35 00,Concrete Finishing,2
03360,High-Tolerance Floor,4,03 35 13,High-Tolerance Concrete Floor Finishing,3
03370,Specially Placed Concrete,3,03 37 00,Specialty Placed Concrete,2
03380,Post-Tensioned Concrete,3,03 38 00,Post-Tensioned Concrete,2
03390,Concrete Curing,3,03 39 00,Concrete Curing,2
03400,PRECAST CONCRETE,2,03 40 00,Precast Concrete,2
03410,Plant-Precast Structural Concrete,3,03 41 00,Precast Structural Concrete,2
03420,Plant-Precast Structural Post-Tensioned Concrete,3,03 41 36,Precast Structural Post-Tensioned Concrete,3
03430,Lift-Slab Concrete,4,03 47 16,Lift-Slab Concrete,3
03430,Precast Post-Tensioned Concrete,4,03 41 36,Precast Structural Post-Tensioned Concrete,3
03430,Precast Post-Tensioned Concrete,4,03 45 36,Precast Architectural Post-Tensioned Concrete,3
03430,Site-Precast Structural Concrete,3,03 41 00,Precast Structural Concrete,2
03430,Site-Precast Structural Concrete,3,03 47 00,Site-Cast Concrete,2
03430,Structural Precast Pretensioned Concrete,4,03 41 33,Precast Structural Pretensioned Concrete,3
03450,Faced Architectural Precast Concrete,4,03 45 13,Faced Architectural Precast Concrete,3
03450,Plant-Precast Architectural Concrete,3,03 45 00,Precast Architectural Concrete,2
03460,Site-Precast Architectural Concrete,3,03 45 00,Precast Architectural Concrete,2
03460,Site-Precast Architectural Concrete,3,03 47 00,Site-Cast Concrete,2
03470,Tilt-Up Precast Concrete,3,03 47 13,Tilt-Up Concrete,3
03480,Precast Concrete Specialties,3,03 48 00,Precast Concrete Specialties,2
03490,Glass-Fiber-Reinforced Precast Concrete,3,03 49 00,Glass-Fiber-Reinforced Concrete,2
03500,CEMENTITIOUS DECKS AND UNDERLAYMENT,2,03 50 00,Cast Decks and Underlayment,2
03510,Cementitious Roof Deck,3,03 51 00,Cast Roof Decks,2
03510,Cementitious Wood Fiber Plank,4,03 51 13,Cementitious Wood Fiber Decks,3
03510,Gypsum Concrete Roof Deck,4,03 51 16,Gypsum Concrete Roof Decks,3
03520,Composite Concrete and Insulation,4,03 52 13,Composite Concrete Roof Insulation,3
03520,Lightweight Cellular Concrete,4,03 52 16.13,Lightweight Cellular Insulating Concrete,4
03520,Lightweight Concrete Roof Insulation,3,03 52 00,Lightweight Concrete Roof Insulation,2
03520,Lightweight Insulating Concrete,4,03 52 16,Lightweight Insulating Concrete,3
03530,Concrete Topping,3,03 53 00,Concrete Topping,2
03540,Cementitious Underlayment,3,03 54 00,Cast Underlayment,2
03540,Gypsum Underlayment,4,03 54 13,Gypsum Cement Underlayment,3
03540,Portland Cement Underlayment,4,03 54 16,Hydraulic Cement Underlayment,3
03600,GROUTS,2,03 60 00,Grouting,2
03700,MASS CONCRETE,2,03 70 00,Mass Concrete,2
03900,CONCRETE RESTORATION AND   CLEANING,2,03 01 00,Maintenance of Concrete,2
03910,Concrete Cleaning,3,03 01 30.51,Cleaning of Cast-in-Place Concrete,4
03910,Concrete Cleaning,3,03 01 40.51,Cleaning of Precast Concrete,4
03920,Concrete Resurfacing,3,03 01 30.61,Resurfacing of Cast-in-Place Concrete,4
03920,Concrete Resurfacing,3,03 01 40.61,Resurfacing of Precast Concrete,4
03930,Concrete Rehabilitation,3,03 01 30.71,Rehabilitation of Cast-in-Place Concrete,4
03930,Concrete Rehabilitation,3,03 01 40.71,Rehabilitation of Precast Concrete,4
04000,MASONRY,1,04 00 00,Masonry,1
04050,BASIC MASONRY MATERIALS AND METHODS,2,04 05 00,Common Work Results for Masonry,2
04060,Cement and Lime Mortar,4,04 05 13,Masonry Mortaring,3
04060,Chemical-Resistant Mortar,4,04 05 13.16,Chemical-Resistant Masonry Mortaring,4
04060,Epoxy Mortar,4,04 05 13.19,Epoxy Masonry Mortaring,4
04060,Masonry Mortar,3,04 05 13,Masonry Mortaring,3
04060,Mortar for Engineered Masonry,4,04 05 13.26,Engineered Masonry Mortaring,4
04060,Mortar for Masonry Restoration,4,04 05 13.91,Masonry Restoration Mortaring,4
04060,Mortar Pigments,4,04 05 13,Masonry Mortaring,3
04060,Premixed Mortar,4,04 05 13,Masonry Mortaring,3
04060,Refractory Mortar,4,04 05 13.29,Refractory Masonry Mortaring,4
04060,Surface Bonding Mortar,4,04 05 13.23,Surface Bonding Masonry Mortaring,4
04070,Chemical Resistant Grout,4,04 05 16.16,Chemical-Resistant Masonry Grouting,4
04070,Grout for Engineered Masonry,4,04 05 16.26,Engineered Masonry Grouting,4
04070,Masonry Grout,3,04 05 16,Masonry Grouting,3
04080,Continuous Joint Reinforcing,4,04 05 19.13,Continuous Joint Reinforcing,4
04080,Flexible Masonry Ties,4,04 05 19.16,Masonry Anchors,4
04080,Masonry Anchorage and Reinforcement,3,04 05 19,Masonry Anchorage and Reinforcing,3
04080,Masonry Veneer Ties,4,04 05 19.16,Masonry Anchors,4
04080,Reinforcing Bars,4,04 05 19.26,Masonry Reinforcing Bars,4
04080,Rigid Masonry Ties,4,04 05 19.16,Masonry Anchors,4
04080,Stone Anchors,4,04 05 19.29,Stone Anchors,4
04090,Control Joint Materials,4,04 05 19.13,Masonry Control and Expansion Joints,4
04090,Embedded Flashing,4,04 05 19.16,Masonry Embedded Flashing,4
04090,Expansion Joint Materials,4,04 05 19.13,Masonry Control and Expansion Joints,4
04090,Masonry Accessories,3,04 05 23,Masonry Accessories,3
04090,Weepholes,4,04 05 23.19,"Masonry Cavity Drainage, Weepholes, and Vents",4
04200,MASONRY UNITS,2,04 20 00,Unit Masonry,2
04210,Brick,4,04 21 13,Brick Masonry,3
04210,Building Brick,4,04 21 13,Brick Masonry,3
04210,Ceramic Glazed Clay Masonry Units,4,04 21 16,Ceramic Glazed Clay Masonry,3
04210,Clay Masonry Units,3,04 21 00,Clay Unit Masonry,2
04210,Clay Tile,4,04 21 19,Clay Tile Masonry,3
04210,Facing Brick,4,04 21 13,Brick Masonry,3
04210,Glazed Structural Clay Tile,4,04 21 26,Glazed Structural Clay Tile Masonry,3
04210,Structural Clay Tile,4,04 21 23,Structural Clay Tile Masonry,3
04210,Terra Cotta,4,04 21 29,Terra Cotta Masonry,3
04220,Concrete Brick,4,04 22 00,Concrete Unit Masonry,2
04220,Concrete Masonry Units,3,04 22 00,Concrete Unit Masonry,2
04220,Exposed Aggregate Concrete Masonry Units,4,04 22 23.13,Exposed Aggregate Concrete Unit Masonry,4
04220,Fluted Concrete Masonry Units,4,04 22 23.16,Fluted Concrete Unit Masonry,4
04220,Interlocking Concrete Masonry Units,4,04 22 33,Interlocking Concrete Unit Masonry,3
04220,Molded-Face Concrete Masonry Units,4,04 22 23.19,Molded-Face Concrete Unit Masonry,4
04220,Prefaced Concrete Masonry Units,4,04 22 23.23,Prefaced Concrete Unit Masonry,4
04220,Preinsulated Concrete Masonry Units,4,04 22 19,Insulated Concrete Unit Masonry,3
04220,Sound-Absorbing Concrete Masonry Units,4,04 22 23.26,Sound-Absorbing Concrete Unit Masonry,4
04220,Split-Face Concrete Masonry Units,4,04 22 23.29,Split-Face Concrete Unit Masonry,4
04230,Calcium Silicate Unit Masonry,3,04 71 13,Calcium Silicate Manufactured Brick Masonry,3
04270,Glass Masonry Units,3,04 23 00,Glass Unit Masonry,2
04290,Adobe Masonry Units,3,04 24 00,Adobe Unit Masonry,2
04400,STONE,2,04 40 00,Stone Assemblies,2
04410,Bluestone,4,04 40 00,Stone Assemblies,2
04410,Granite,4,04 40 00,Stone Assemblies,2
04410,Limestone,4,04 40 00,Stone Assemblies,2
04410,Marble,4,04 40 00,Stone Assemblies,2
04410,Quartzite,4,04 40 00,Stone Assemblies,2
04410,Sandstone,4,04 40 00,Stone Assemblies,2
04410,Slate,4,04 40 00,Stone Assemblies,2
04410,Stone Materials,3,04 40 00,Stone Assemblies,2
04420,Collected Stone,3,04 40 00,Stone Assemblies,2
04420,Excavated Stone,4,04 40 00,Stone Assemblies,2
04420,Field Stone,4,04 40 00,Stone Assemblies,2
04420,Riverbed Stone,4,04 40 00,Stone Assemblies,2
04430,Cleft-Face Stone,4,04 40 00,Stone Assemblies,2
04430,Crushed Stone,4,04 40 00,Stone Assemblies,2
04430,Dimension Stone,4,04 40 00,Stone Assemblies,2
04430,Quarried Stone,3,04 40 00,Stone Assemblies,2
04500,REFRACTORIES,2,04 50 00,Refractory Masonry,2
04550,Flue Liners,3,04 51 00,Flue Liner Masonry,2
04560,Combustion Chambers,3,04 52 00,Combustion Chamber Masonry,2
04570,Castable Refractories,3,04 53 00,Castable Refractory Masonry,2
04580,Refractory Brick,3,04 54 00,Refractory Brick Masonry,2
04600,CORROSION-RESISTANT MASONRY,2,04 60 00,Corrosion-Resistant Masonry,2
04610,Chemical-Resistant Brick,3,04 61 00,Chemical-Resistant Brick Masonry,2
04620,Vitrified Clay Liner Plates,3,04 62 00,Vitrified Clay Liner Plate,2
04700,SIMULATED MASONRY,2,04 70 00,Manufactured Masonry,2
04710,Simulated Brick,3,04 71 00,Manufactured Brick Masonry,2
04720,Cast Stone,3,04 72 00,Cast Stone Masonry,2
04730,Simulated Stone,3,04 73 00,Manufactured Stone Masonry,2
04800,MASONRY ASSEMBLIES,2,04 20 00,Unit Masonry,2
04800,MASONRY ASSEMBLIES,2,04 40 00,Stone Assemblies,2
04810,Cavity Walls,4,04 27 23,Cavity Wall Unit Masonry,3
04810,Composite Unit Masonry,4,04 27 13,Composite Unit Masonry,3
04810,Masonry Veneer,4,04 21 13.13,Brick Veneer Masonry,4
04810,Masonry Veneer,4,04 22 00.13,Concrete Unit Veneer Masonry,4
04810,Multiple-Wythe Unit Masonry,4,04 27 00,Multiple-Wythe Unit Masonry,2
04810,Single-Wythe Unit Masonry,4,04 21 00,Clay Unit Masonry,2
04810,Single-Wythe Unit Masonry,4,04 22 00,Concrete Unit Masonry,2
04810,Surface-Bonded Masonry,4,04 21 13.23,Surface-Bonded Brick Masonry,4
04810,Surface-Bonded Masonry,4,04 22 00.16,Surface-Bonded Concrete Unit Masonry,4
04810,Thin Brick Veneer,4,04 21 13.13,Brick Veneer Masonry,4
04810,Unit Masonry Assemblies,3,04 20 00,Unit Masonry,2
04820,Reinforced Unit Masonry Assemblies,3,04 27 00,Multiple-Wythe Unit Masonry,2
04830,Non-Reinforced Unit Masonry Assemblies,3,04 27 00,Multiple-Wythe Unit Masonry,2
04840,Prefabricated Masonry Panels,3,04 25 00,Unit Masonry Panels,2
04850,Dry-Placed Stone Assemblies,4,04 41 00,Dry-Placed Stone,2
04850,Metal-Supported Stone Assemblies,4,04 42 16,Steel-Stud-Supported Stone Cladding,3
04850,Metal-Supported Stone Assemblies,4,04 42 19,Strongback-Frame-Supported Stone Cladding,3
04850,Metal-Supported Stone Assemblies,4,04 42 23,Truss-Supported Stone Cladding,3
04850,Mortar-Placed Stone Assemblies,4,04 43 00,Stone Masonry,2
04850,Stone Assemblies,3,04 40 00,Stone Assemblies,2
04850,Stone Curtain Wall Assemblies,4,04 42 43,Stone Panels for Curtain Walls,3
04850,Stone-Clad Precast Concrete,4,03 45 13,Faced Architectural Precast Concrete,3
04880,Masonry Fireplaces,3,04 57 00,Masonry Fireplaces,2
04900,MASONRY RESTORATION AND CLEANING,2,04 01 00,Maintenance of Masonry,2
04910,Unit Masonry Repair,4,04 01 20,Maintenance of Unit Masonry,3
